fixture_id,match_date,round,group_name,stage_category,home_team,away_team,home_goals,away_goals,home_elo,away_elo,elo_gap,result_classification,ad_slot_tier
4,2026-06-18,"Matchday 8","Group A","Group Stage",Mexico,"South Korea",1,0,1720,1650,70,"Expected: Home win","TIER 4 - Standard"
47,2026-06-26,"Matchday 16","Group H","Group Stage","Cape Verde","Saudi Arabia",0,0,1520,1580,60,Draw,"TIER 4 - Standard"
11,2026-06-24,"Matchday 14","Group B","Group Stage",Switzerland,Canada,2,1,1700,1640,60,"Expected: Home win","TIER 4 - Standard"
9,2026-06-18,"Matchday 8","Group B","Group Stage",Switzerland,"Bosnia & Herzegovina",4,1,1700,1640,60,"Expected: Home win","TIER 4 - Standard"
68,2026-06-17,"Matchday 7","Group L","Group Stage",Ghana,Panama,1,0,1580,1530,50,"Expected: Home win","TIER 4 - Standard"
57,2026-06-22,"Matchday 12","Group J","Group Stage",Argentina,Austria,2,0,1891,1845,46,"Expected: Home win","TIER 4 - Standard"
22,2026-06-19,"Matchday 9","Group D","Group Stage",Turkey,Paraguay,0,1,1660,1620,40,"Expected: Away win","TIER 4 - Standard"
20,2026-06-13,"Matchday 3","Group D","Group Stage",Australia,Turkey,2,0,1620,1660,40,"Expected: Home win","TIER 4 - Standard"
35,2026-06-25,"Matchday 15","Group F","Group Stage",Japan,Sweden,1,1,1730,1690,40,Draw,"TIER 4 - Standard"
48,2026-06-26,"Matchday 16","Group H","Group Stage",Uruguay,Spain,0,1,1996,2034,38,"Expected: Away win","TIER 4 - Standard"
17,2026-06-24,"Matchday 14","Group C","Group Stage",Scotland,Brazil,0,3,1930,1899,31,"Expected: Away win","TIER 4 - Standard"
21,2026-06-19,"Matchday 9","Group D","Group Stage",USA,Australia,2,0,1650,1620,30,"Expected: Home win","TIER 4 - Standard"
19,2026-06-12,"Matchday 2","Group D","Group Stage",USA,Paraguay,4,1,1650,1620,30,"Expected: Home win","TIER 4 - Standard"
66,2026-06-27,"Matchday 17","Group K","Group Stage","DR Congo",Uzbekistan,3,1,1540,1510,30,"Expected: Home win","TIER 4 - Standard"
52,2026-06-22,"Matchday 12","Group I","Group Stage",Norway,Senegal,3,2,1700,1680,20,"Expected: Home win","TIER 4 - Standard"
41,2026-06-26,"Matchday 16","Group G","Group Stage",Egypt,Iran,1,1,1620,1640,20,Draw,"TIER 4 - Standard"
23,2026-06-25,"Matchday 15","Group D","Group Stage",Turkey,USA,3,2,1660,1650,10,"Expected: Home win","TIER 4 - Standard"
26,2026-06-14,"Matchday 4","Group E","Group Stage","Ivory Coast",Ecuador,1,0,1650,1660,10,"Expected: Home win","TIER 4 - Standard"
24,2026-06-25,"Matchday 15","Group D","Group Stage",Paraguay,Australia,0,0,1620,1620,0,Draw,"TIER 4 - Standard"
7,2026-06-12,"Matchday 2","Group B","Group Stage",Canada,"Bosnia & Herzegovina",1,1,1640,1640,0,Draw,"TIER 4 - Standard"
